"","Entity","Code","Year","nuclear_perc"
"498","Slovakia","SVK","1973",0.39605275
"499","South Africa","ZAF","1973",0
"500","South America","","1973",0
"501","South and Central America (EI)","","1973",0.005867336
"502","Spain","ESP","1973",2.694503
"503","Switzerland","CHE","1973",6.4486423
"504","Taiwan","TWN","1973",0
"505","USSR","OWID_USS","1973",0.3976964
"506","United Kingdom","GBR","1973",2.978606
"507","United States","USA","1973",1.2258792
"508","Upper-middle-income countries","","1973",0.24395557
"509","Venezuela","VEN","1973",0
"510","World","OWID_WRL","1973",0.8746081
"511","Africa","","1974",0
"512","Africa (EI)","","1974",0
"513","Algeria","DZA","1974",0
"514","Argentina","ARG","1974",0.71303004
"515","Asia","","1974",0.57139784
"516","Asia Pacific (EI)","","1974",0.58936316
"517","Austria","AUT","1974",0
"518","Bangladesh","BGD","1974",0
"519","Belgium","BEL","1974",0.07624646
"520","Brazil","BRA","1974",0
"521","Bulgaria","BGR","1974",1.0970328
"522","CIS (EI)","","1974",0.5651688
"523","Canada","CAN","1974",1.7947893
"524","Central America (EI)","","1974",0.10520979
"525","Chile","CHL","1974",0
"526","China","CHN","1974",0
"527","Colombia","COL","1974",0
"528","Czechia","CZE","1974",0
"529","Egypt","EGY","1974",0
"530","Europe","","1974",1.0810287
"531","Europe (EI)","","1974",1.3771659
"532","European Union (27)","","1974",0.9271832
"533","Finland","FIN","1974",0
"534","France","FRA","1974",1.9531982
"535","Germany","DEU","1974",1.04715
"536","High-income countries","","1974",1.5022026
"537","Hungary","HUN","1974",0
"538","India","IND","1974",0.5645903
"539","Indonesia","IDN","1974",0
"540","Iran","IRN","1974",0
"541","Italy","ITA","1974",0.5990049
"542","Japan","JPN","1974",1.3739552
"543","Lower-middle-income countries","","1974",0.35843506
"544","Malaysia","MYS","1974",0
"545","Mexico","MEX","1974",0
"546","Middle East (EI)","","1974",0
"547","Netherlands","NLD","1974",1.1395861
"548","New Zealand","NZL","1974",0
"549","Non-OECD (EI)","","1974",0.3402597
"550","North America","","1974",1.652211
"551","North America (EI)","","1974",1.6816351
"552","OECD (EI)","","1974",1.5160139
"553","Oceania","","1974",0
"554","Pakistan","PAK","1974",1.4521748
"555","Peru","PER","1974",0
"556","Poland","POL","1974",0
"557","Romania","ROU","1974",0
"558","Saudi Arabia","SAU","1974",0
"559","Slovakia","SVK","1974",0.7882977
"560","South Africa","ZAF","1974",0
"561","South America","","1974",0.1560234
"562","South and Central America (EI)","","1974",0.1277464
"563","Spain","ESP","1974",2.8570254
"564","Switzerland","CHE","1974",7.5548635
"565","Taiwan","TWN","1974",0
"566","USSR","OWID_USS","1974",0.5651688
"567","United Kingdom","GBR","1974",3.7655737
"568","United States","USA","1974",1.7156484
"569","Upper-middle-income countries","","1974",0.37928444
"570","Venezuela","VEN","1974",0
"571","World","OWID_WRL","1974",1.136327
"572","Africa","","1975",0
"573","Africa (EI)","","1975",0
"574","Algeria","DZA","1975",0
"575","Argentina","ARG","1975",1.7741024
"576","Asia","","1975",0.6976598
"577","Asia Pacific (EI)","","1975",0.7190631
"578","Austria","AUT","1975",0
"579","Bangladesh","BGD","1975",0
"580","Belgium","BEL","1975",3.7160206
"581","Brazil","BRA","1975",0
"582","Bulgaria","BGR","1975",2.731498
"583","CIS (EI)","","1975",0.7181552
"584","Canada","CAN","1975",1.5582585
"585","Central America (EI)","","1975",0.09179475
"586","Chile","CHL","1975",0
"587","China","CHN","1975",0
"588","Colombia","COL","1975",0
"589","Czechia","CZE","1975",0
"590","Egypt","EGY","1975",0
"591","Europe","","1975",1.4264321
"592","Europe (EI)","","1975",1.8569732
"593","European Union (27)","","1975",1.5680227
"594","Finland","FIN","1975",0
"595","France","FRA","1975",2.5719426
"596","Germany","DEU","1975",1.8193837
"597","High-income countries","","1975",2.1265945
"598","Hungary","HUN","1975",0
"599","India","IND","1975",0.6257083
"600","Indonesia","IDN","1975",0
"601","Iran","IRN","1975",0
"602","Italy","ITA","1975",0.6818564
"603","Japan","JPN","1975",1.8342901
"604","Lower-middle-income countries","","1975",0.38402495
"605","Malaysia","MYS","1975",0
