"","Entity","Code","Year","source","energy_twh","energy_prop"
"289","France","FRA",2020,"nuclear",353.83,0.67108582266477
"290","France","FRA",2020,"renewables",125.28,0.237610241820768
"291","France","FRA",2020,"fossil_fuels",48.14,0.0913039355144618
"292","France","FRA",2021,"nuclear",379.36,0.689269232166867
"293","France","FRA",2021,"renewables",122.36,0.222319124968204
"294","France","FRA",2021,"fossil_fuels",48.66,0.0884116428649297
"295","France","FRA",2022,"nuclear",297.2,0.633040811110164
"296","France","FRA",2022,"renewables",115.22,0.245420465195535
"297","France","FRA",2022,"fossil_fuels",57.06,0.1215387236943
"298","India","IND",1990,"nuclear",6.3948717,0.0222256195814679
"299","India","IND",1990,"renewables",66.42736703,0.230870838176053
"300","India","IND",1990,"fossil_fuels",214.903,0.746903542242479
"301","India","IND",1991,"nuclear",5.413765,0.0168988692589386
"302","India","IND",1991,"renewables",74.031794,0.231087534795226
"303","India","IND",1991,"fossil_fuels",240.917,0.752013595945836
"304","India","IND",1992,"nuclear",6.4037104,0.0190001952841985
"305","India","IND",1992,"renewables",70.149215,0.20813695510547
"306","India","IND",1992,"fossil_fuels",260.481,0.772862849610332
"307","India","IND",1993,"nuclear",6.2269344,0.0172050786443616
"308","India","IND",1993,"renewables",70.82727,0.19569641692635
"309","India","IND",1993,"fossil_fuels",284.87,0.787098504429288
"310","India","IND",1994,"nuclear",4.9453087,0.0127592322352315
"311","India","IND",1994,"renewables",80.40339,0.20744620563523
"312","India","IND",1994,"fossil_fuels",302.238,0.779794562129539
"313","India","IND",1995,"nuclear",7.6146264,0.0178501979965555
"314","India","IND",1995,"renewables",76.418356101,0.179139817939608
"315","India","IND",1995,"fossil_fuels",342.552,0.803009984063837
"316","India","IND",1996,"nuclear",8.401279,0.0189881185641068
"317","India","IND",1996,"renewables",69.941980606,0.158079099665085
"318","India","IND",1996,"fossil_fuels",364.106,0.822932781770808
"319","India","IND",1997,"nuclear",10.071813,0.0215130669712076
"320","India","IND",1997,"renewables",71.205066606,0.152091720386804
"321","India","IND",1997,"fossil_fuels",386.895,0.826395212641989
"322","India","IND",1998,"nuclear",11.371117,0.0225713280747287
"323","India","IND",1998,"renewables",84.717790606,0.168162287445833
"324","India","IND",1998,"fossil_fuels",407.697,0.809266384479438
"325","India","IND",1999,"nuclear",12.727872,0.0233249457108904
"326","India","IND",1999,"renewables",83.701510606,0.153390385353063
"327","India","IND",1999,"fossil_fuels",449.247,0.823284668936046
"328","India","IND",2000,"nuclear",15.77,0.0275993629569996
"329","India","IND",2000,"renewables",80.27,0.140481982533821
"330","India","IND",2000,"fossil_fuels",475.35,0.831918654509179
"331","India","IND",2001,"nuclear",18.89,0.0322305447968742
"332","India","IND",2001,"renewables",76.19,0.129997099421591
"333","India","IND",2001,"fossil_fuels",491.01,0.837772355781535
"334","India","IND",2002,"nuclear",19.35,0.0317400433042451
"335","India","IND",2002,"renewables",72.78,0.119381930319533
"336","India","IND",2002,"fossil_fuels",517.51,0.848878026376222
"337","India","IND",2003,"nuclear",18.14,0.028426809584254
"338","India","IND",2003,"renewables",74.63,0.11695109147039
"339","India","IND",2003,"fossil_fuels",545.36,0.854622098945356
"340","India","IND",2004,"nuclear",21.26,0.0304444953602933
"341","India","IND",2004,"renewables",109.2,0.156375300721732
"342","India","IND",2004,"fossil_fuels",567.86,0.813180203917975
"343","India","IND",2005,"nuclear",17.73,0.0251660705160961
"344","India","IND",2005,"renewables",107.47,0.152543575767899
"345","India","IND",2005,"fossil_fuels",579.32,0.822290353716005
"346","India","IND",2006,"nuclear",17.63,0.0236825490643848
"347","India","IND",2006,"renewables",127.56,0.171352578482866
"348","India","IND",2006,"fossil_fuels",599.24,0.804964872452749
"349","India","IND",2007,"nuclear",17.83,0.0223921834576646
"350","India","IND",2007,"renewables",141.75,0.17801974229523
"351","India","IND",2007,"fossil_fuels",636.68,0.799588074247105
"352","India","IND",2008,"nuclear",15.23,0.0183846163131783
"353","India","IND",2008,"renewables",138.91,0.167682669209691
"354","India","IND",2008,"fossil_fuels",674.27,0.813932714477131
"355","India","IND",2009,"nuclear",16.82,0.019119937252049
"356","India","IND",2009,"renewables",134.33,0.152698048220436
"357","India","IND",2009,"fossil_fuels",728.56,0.828182014527515
"358","India","IND",2010,"nuclear",23.08,0.0246194544892103
"359","India","IND",2010,"renewables",142.61,0.152122201243773
"360","India","IND",2010,"fossil_fuels",771.78,0.823258344267016
"361","India","IND",2011,"nuclear",32.22,0.0311605415860735
"362","India","IND",2011,"renewables",173.62,0.167911025145068
"363","India","IND",2011,"fossil_fuels",828.16,0.800928433268859
"364","India","IND",2012,"nuclear",33.14,0.0303524325908558
"365","India","IND",2012,"renewables",165.25,0.151350014654162
"366","India","IND",2012,"fossil_fuels",893.45,0.818297552754982
"367","India","IND",2013,"nuclear",33.31,0.0290627672012145
"368","India","IND",2013,"renewables",187.9,0.163941577817719
