"","Entity","Code","Year","source","energy_twh","rank"
"477","World","OWID_WRL",2010,"solar",94.12616,9
"478","World","OWID_WRL",2011,"oil",48312.62,1
"479","World","OWID_WRL",2011,"coal",43895.938,2
"480","World","OWID_WRL",2011,"gas",32349.238,3
"481","World","OWID_WRL",2011,"bioenergy",12288.38153,4
"482","World","OWID_WRL",2011,"hydro",9635.082,5
"483","World","OWID_WRL",2011,"nuclear",7021.4863,6
"484","World","OWID_WRL",2011,"other_renewables",1232.3865,7
"485","World","OWID_WRL",2011,"wind",1215.6783,8
"486","World","OWID_WRL",2011,"solar",181.10184,9
"487","World","OWID_WRL",2012,"oil",49113.688,1
"488","World","OWID_WRL",2012,"coal",44022.523,2
"489","World","OWID_WRL",2012,"gas",33203.004,3
"490","World","OWID_WRL",2012,"bioenergy",12203.47174,4
"491","World","OWID_WRL",2012,"hydro",9985.715,5
"492","World","OWID_WRL",2012,"nuclear",6500.3687,6
"493","World","OWID_WRL",2012,"wind",1454.6062,7
"494","World","OWID_WRL",2012,"other_renewables",1334.975,8
"495","World","OWID_WRL",2012,"solar",278.36545,9
"496","World","OWID_WRL",2013,"oil",49590.31,1
"497","World","OWID_WRL",2013,"coal",44670.625,2
"498","World","OWID_WRL",2013,"gas",33741.91,3
"499","World","OWID_WRL",2013,"bioenergy",12158.65063,4
"500","World","OWID_WRL",2013,"hydro",10324.202,5
